servico_honorarios_padronizado,grupo_servico_honorarios,grupo_tos,subgrupo_tos,servico_tos,n_arts,mediana_valor,q1,q3,iqr,min,max,ano_min,ano_max,municipios_distintos,modalidades_distintas,natureza_valor,confiabilidade,observacao
Meio Ambiente / Licenciamento,Servico novo - Ambiental,Atividades da Área da Engenharia de Produção; Atividades na Área da Engenharia de Materiais; Construção Civil …,Avaliação de Riscos Ambientais do Trabalho; Condições Ambientais de Conforto; Condições Ambientais nos Locais de Trabalho - LTCAT …,Programa de Prevenção de Riscos Ambientais - PPRA; caracterização do meio antrópico; caracterização do meio físico …,1206,800.0,500.0,1200.0,700.0,20.0,4081.0,2022,2022,240,121,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Laudo Tecnico,Pericias e Laudos,"Agronomia, Agrícola, Florestal, Pesca e Aquicultura; Atividades da Área Naval e Oceânica; Atividades da Área da Engenharia de Produção …",Arquitetura Naval; Avaliação Pós-Ocupação; Ações de Engenharia em Praias e Costas …,a percussão; alcatrão de petróleo; automóveis …,340,700.0,500.0,1261.44,761.44,100.0,6160.26,2022,2022,100,58,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Consultoria Tecnica,Consultoria,"Agronomia, Agrícola, Florestal, Pesca e Aquicultura; Atividades da Área Naval e Oceânica; Construção Civil …",Arquitetura Naval; Barragens e Diques; Desenvolvimento …,de Equipamentos e Dispositivos de Proteção; de Programa de Conservação Auditiva – PCA; de Programa de Gerenciamento de Riscos (PGR) …,238,900.0,785.0,1200.0,415.0,50.0,3500.0,2022,2022,81,49,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Instalacoes Eletricas,Instalacoes Eletricas e de Comunicacao,Eletrotécnica; Eletrônica; Mecânica …,Dispositivos e Componentes; Equipamentos Elétricos; Instalações Elétricas …,abrigada de energia elétrica; aérea urbana de energia elétrica; de aterramento elétrico …,209,1200.0,800.0,4000.0,3200.0,50.0,25050.0,2022,2022,60,33,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Rede Hidrossanitaria / Saneamento,Saneamento e Instalacoes Hidraulicas,"Agronomia, Agrícola, Florestal, Pesca e Aquicultura; Construção Civil; Hidrogeologia …",Controle e Monitoramento Ambiental; Fontes de água; Instalações Hidrossanitárias …,captação superficial de água; cisternas; controle sanitário do ambiente …,153,1500.0,1000.0,3000.0,2000.0,88.78,8000.0,2022,2022,70,33,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Estrutura / Calculo Estrutural,Calculo Estrutural,Atividades da Área Naval e Oceânica; Construção Civil; Estruturas …,"Barragens e Diques; Equipamentos, Dispositivos e Componentes de Comunicação e Telecomunicações; Estruturas Metálicas …",asfáltica para vias urbanas; de ancoragem de estruturas; de base e sub-base para rodovias …,135,1000.0,1000.0,2000.0,1000.0,88.78,8050.0,2022,2022,66,18,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Seguranca do Trabalho,Servico novo - Seguranca,Engenharia Costeira; Gestão da Segurança do Trabalho; Mecânica …,Comunicação e Procedimentos de Segurança do Trabalho; Controle de Acidentes; Diagnósticos e Políticas de Segurança do Trabalho …,de conformidade técnica em segurança do trabalho; de máquinas e equipamentos (NR12) - segurança do trabalho; de projeto de prevenção de acidentes …,126,800.0,500.0,1475.0,975.0,11.11,4900.0,2022,2022,53,31,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Vistoria / Pericia,Pericias e Laudos,"Agronomia, Agrícola, Florestal, Pesca e Aquicultura; Atividades da Área da Engenharia de Produção; Construção Civil …",Avaliação Pós-Ocupação; Barragens e Diques; Desenvolvimento …,a percussão; da mina; de Análise de Risco (AR) …,108,1746.3,500.0,5390.87,4890.87,52.0,20000.0,2022,2022,48,26,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Topografia / Agrimensura,Servico novo - Agrimensura,Agrimensura; Cartografia; Geodésia …,"Agrimensura Legal; Cadastro Técnico; Dados e Informações Cartográficas, Cartográficas Estatísticas e Cartográficas Temáticas …",Cadastro Técnico; de aquisição de dados geográficos; de cadastro para sistema de informações geográficas …,75,1200.0,500.0,2000.0,1500.0,100.0,8000.0,2022,2022,50,30,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
Prevencao de Incendio,Instalacoes,Construção Civil; Sistemas de Proteção contra Incêndios e Catástrofes,Emergência e Catástrofes; Equipamentos de Combate a Incêndios; Especificações de Proteção contra Incêndio …,de especificação de sistema de detecção de incêndio; de especificações de proteção e equipamentos contra incêndio; de localização de equipamento de combate a incêndio …,69,1000.0,900.0,1500.0,600.0,60.0,5500.0,2022,2022,30,32,provavel_honorario_tecnico,alta,valor declarado em ART (filtrado p/ provavel honorario); nao e honorario liquido
