municipio_key,municipio_label,codigo_ibge,grafias_distintas,n_arts,uf,confiabilidade_municipio,exemplos_grafias
SALVADOR,Salvador,Informação insuficiente para verificar,2,8532,AL; BA,media,SALVADOR; Salvador
FEIRA DE SANTANA,Feira De Santana,Informação insuficiente para verificar,2,2850,AC; BA,media,FEIRA DE SANTANA; Feira de Santana
CAMACARI,Camacari,Informação insuficiente para verificar,3,2253,BA; MA,media,CAMAÇARI; CAMAçARI; Camaçari
VITORIA DA CONQUISTA,Vitoria Da Conquista,Informação insuficiente para verificar,6,1874,BA; SP,media,VITORIA DA CONQUISTA; VITÓRIA DA CONQUISTA; VITóRIA DA CONQUISTA; Vitória Da Conquista
BARREIRAS,Barreiras,Informação insuficiente para verificar,2,1669,BA; CE; ba,media,BARREIRAS; Barreiras
LAURO DE FREITAS,Lauro De Freitas,Informação insuficiente para verificar,2,1439,BA,media,LAURO DE FREITAS; Lauro de Freitas
LUIS EDUARDO MAGALHAES,Luis Eduardo Magalhaes,Informação insuficiente para verificar,6,1255,BA,media,LUIS EDUARDO MAGALHAES; LUÍS EDUARDO MAGALHÃES; LUíS EDUARDO MAGALHãES; Luis Eduardo Magalhaes
JUAZEIRO,Juazeiro,Informação insuficiente para verificar,2,1190,BA,media,JUAZEIRO; Juazeiro
TEIXEIRA DE FREITAS,Teixeira De Freitas,Informação insuficiente para verificar,3,951,AL; BA; ba,media,TEIXEIRA DE FREITAS; Teixeira de Freitas; teixeira de freitas
ILHEUS,Ilheus,Informação insuficiente para verificar,4,914,BA,media,ILHEUS; ILHÉUS; ILHéUS; Ilhéus
PORTO SEGURO,Porto Seguro,Informação insuficiente para verificar,2,807,BA,media,PORTO SEGURO; Porto Seguro
JEQUIE,Jequie,Informação insuficiente para verificar,4,794,BA,media,JEQUIE; JEQUIÉ; JEQUIé; Jequié
GUANAMBI,Guanambi,Informação insuficiente para verificar,2,761,BA,media,GUANAMBI; Guanambi
ALAGOINHAS,Alagoinhas,Informação insuficiente para verificar,3,701,BA; SE,media,ALAGOINHAS; Alagoinhas; alagoinhas
EUNAPOLIS,Eunapolis,Informação insuficiente para verificar,1,579,BA,media,EUNÁPOLIS
ITABUNA,Itabuna,Informação insuficiente para verificar,2,574,BA,media,ITABUNA; Itabuna
BRUMADO,Brumado,Informação insuficiente para verificar,2,540,BA,media,BRUMADO; Brumado
SIMOES FILHO,Simoes Filho,Informação insuficiente para verificar,2,537,BA,media,SIMÕES FILHO; Simões Filho
PAULO AFONSO,Paulo Afonso,Informação insuficiente para verificar,1,478,BA,media,PAULO AFONSO
BOM JESUS DA LAPA,Bom Jesus Da Lapa,Informação insuficiente para verificar,3,459,BA,media,BOM JESUS DA LAPA; Bom Jesus Da Lapa; Bom Jesus da Lapa
MATA DE SAO JOAO,Mata De Sao Joao,Informação insuficiente para verificar,2,452,BA,media,MATA DE SÃO JOÃO; Mata de São João
SANTO ANTONIO DE JESUS,Santo Antonio De Jesus,Informação insuficiente para verificar,4,443,BA; Bahia,media,SANTO ANTONIO DE JESUS; SANTO ANTÔNIO DE JESUS; SANTO ANTôNIO DE JESUS; Santo Antônio de Jesus
IRECE,Irece,Informação insuficiente para verificar,2,442,BA,media,IRECÊ; Irecê
SAO DESIDERIO,Sao Desiderio,Informação insuficiente para verificar,4,415,BA,media,SAO DESIDERIO; SÃO DESIDÉRIO; SãO DESIDéRIO; São Desidério
CAETITE,Caetite,Informação insuficiente para verificar,2,379,AL; BA,media,CAETITÉ; Caetité
