atividade,unidade,nivel_predominante,n_total,n_apos_poda,piso_P20_R$,referencia_mediana_R$,teto_P80_R$,confiabilidade
Projeto,metro quadrado,Execução,64896,38938,500.0,1500.0,6000.0,Alta
ESPECIFICACAO,unidade,Nao selecionado,64661,38797,1.44,100.0,770.0,Média
Execução de obra técnica,metro quadrado,Execução,46985,28191,800.0,2500.0,417660.72,Baixa (provável mistura valor unitário/total)
Projeto,quilowatt,Execução,22428,13458,800.0,1500.0,6000.0,Alta
Projeto,quilowatt(s) pico,Execução,19599,11761,500.0,1000.0,3000.0,Alta
Execução de instalação,quilowatt(s) pico,Execução,16875,10125,500.0,1000.0,3000.0,Alta
Execução de instalação,quilowatt,Execução,15204,9124,800.0,1100.0,3500.0,Alta
Execução de obra,metro quadrado,Execução,14578,8748,800.0,2800.0,456308.34,Baixa (provável mistura valor unitário/total)
Projeto,unidade,Execução,12987,7793,1000.0,6000.0,4656527.1,Baixa (provável mistura valor unitário/total)
Execução de serviço técnico,metro quadrado,Execução,7941,4765,750.0,1500.0,17522.1,Média
Execução de cadastramento,metro quadrado,Execução,6418,3852,310.0,1000.0,1500.0,Alta
Laudo,unidade,Elaboração,6100,3660,500.0,1500.0,5500.0,Alta
Execução de obra técnica,unidade,Execução,5531,3319,7800.0,420716.63,6895796.91,Média
Execução de reforma,metro quadrado,Execução,5406,3244,2000.0,50000.0,425555.8,Média
Projeto,quilovolt-ampére,Execução,5322,3194,1000.0,4484.56,10000.0,Alta
Elaboração de orçamento,metro quadrado,Execução,4917,2951,600.0,4000.0,72223.22,Média
Projeto arquitetônico,metro quadrado,Elaboração,4880,2928,500.0,1500.0,4500.0,Alta
Execução de instalação,unidade,Execução,4785,2871,300.0,3500.0,163475.0,Baixa (provável mistura valor unitário/total)
Execução de serviço técnico,unidade,Execução,4587,2753,500.0,2500.0,100000.0,Baixa (provável mistura valor unitário/total)
Ambiental,unidade,Execução,4530,2718,1000.0,1500.0,5000.0,Alta
Laudo,metro quadrado,Execução,4371,2623,500.0,1200.0,2500.0,Alta
Execução de manutenção,unidade,Execução,3976,2386,1000.0,4445.0,700000.0,Baixa (provável mistura valor unitário/total)
Assistência,hectare,Execução,3883,2331,1212.0,2000.0,7973.18,Alta
Fiscalização de obra técnica,metro quadrado,Fiscalização,3867,2321,500.0,4500.0,230213.18,Baixa (provável mistura valor unitário/total)
Execução de obra técnica,metro cúbico,Execução,3700,2220,95732.14,1063321.86,13200000.0,Média
Execução de instalação,metro quadrado,Execução,3595,2157,500.0,2000.0,300000.0,Baixa (provável mistura valor unitário/total)
Manutenção de equipamento,unidade,Execução,3485,2091,180.0,512.0,2550.0,Alta
Execução de obra técnica,metro,Execução,3124,1876,30000.0,914546.16,10917102.17,Média
Execução de serviço técnico,hectare,Execução,3083,1851,1000.0,2500.0,6000.0,Alta
Projeto,metro,Execução,2805,1683,1000.0,4000.0,20900.0,Alta
Vistoria,metro quadrado,Execução,2745,1647,400.0,1000.0,2000.0,Alta
Elaboração de orçamento,unidade,Execução,2621,1573,500.0,4000.0,388408.83,Baixa (provável mistura valor unitário/total)
Estudo,unidade,Elaboração,2479,1489,1000.0,3000.0,579484.23,Baixa (provável mistura valor unitário/total)
Consultoria,unidade,Consultoria,2323,1395,1.0,1200.0,3000.0,Alta
Execução de montagem,metro quadrado,Execução,2295,1377,1000.0,15000.0,150000.0,Média
Vistoria,unidade,Execução,2148,1290,400.0,1208.74,6100.0,Alta
Execução de manutenção,metro quadrado,Execução,2109,1267,300.0,1200.0,224679.05,Baixa (provável mistura valor unitário/total)
Execução de montagem,unidade,Execução,2091,1255,1000.0,5931.96,137400.0,Baixa (provável mistura valor unitário/total)
Fiscalização de obra técnica,unidade,Fiscalização,2078,1248,1000.0,198236.85,10565923.5,Baixa (provável mistura valor unitário/total)
Execução de instalação,quilovolt-ampére,Execução,2046,1228,1000.0,2895.41,8000.0,Alta
Ensaio,unidade,Execução,1898,1140,1000.0,2000.0,67690.0,Baixa (provável mistura valor unitário/total)
Execução de desenho técnico,metro quadrado,Execução,1881,1129,500.0,1000.0,2600.0,Alta
Avaliação,metro quadrado,Execução,1658,996,200.0,600.0,2000.0,Alta
Supervisão,unidade,Supervisão,1651,991,300.0,1910000.0,10000000.0,Alta
Projeto,metro cúbico,Execução,1548,930,1500.0,5000.0,246477.24,Baixa (provável mistura valor unitário/total)
Avaliação,unidade,Execução,1515,909,500.0,3000.0,8000.0,Alta
Execução de montagem,quilowatt,Execução,1509,907,1000.0,2000.0,6000.0,Alta
Execução de obra,unidade,Execução,1498,900,5000.0,466818.15,5330956.32,Média
Ambiental,hectare,Execução,1459,877,600.0,2000.0,5000.0,Alta
Execução de obra técnica,quilowatt,Execução,1392,836,600.0,1000.0,2000.0,Alta
Projeto,hectare,Execução,1384,832,1000.0,1500.0,6060.0,Alta
Execução de obra,metro cúbico,Execução,1383,831,179731.36,2100000.0,14722590.0,Média
Execução de obra,metro,Execução,1313,789,2500.0,617879.56,9755297.46,Média
Fabricação,metro quadrado,Execução,1274,766,1260.0,4178.0,50000.0,Média
Projeto de instalações,metro quadrado,Elaboração,1213,729,1000.0,3000.0,8000.0,Alta
Execução de obra,quilowatt,Execução,1068,642,700.0,1000.0,5000.0,Alta
Execução de serviço técnico,metro cúbico,Execução,1058,636,1500.0,78270.45,4266541.26,Baixa (provável mistura valor unitário/total)
Demolição,metro quadrado,Execução,1058,636,600.0,3000.0,582735.17,Baixa (provável mistura valor unitário/total)
Execução de reforma,unidade,Execução,1034,622,6080.77,176168.94,1128595.4,Média
Levantamento,metro quadrado,Execução,965,579,400.0,1000.0,1900.0,Alta
Desempenho de função técnica,hora por semana,Nao selecionado,938,564,6651.41,7272.0,9000.0,Alta
Fiscalização de obra,metro quadrado,Fiscalização,929,559,1000.0,4000.0,220497.5,Baixa (provável mistura valor unitário/total)
Assessoria,unidade,Assessoria,921,553,1000.0,2396.0,6500.0,Alta
Mensuração,metro quadrado,Execução,920,552,88.87,700.0,1500.0,Alta
Consultoria,hectare,Consultoria,876,526,500.0,2000.0,6000.0,Alta
Execução de serviço técnico,metro,Execução,872,524,3338.96,23546.2,2003432.34,Baixa (provável mistura valor unitário/total)
Assessoria,hectare,Execução,870,522,1000.0,3000.0,10000.0,Alta
Execução de ampliação,metro quadrado,Execução,868,522,1200.0,7000.0,1500000.0,Baixa (provável mistura valor unitário/total)
Execução de manutenção,quilowatt,Execução,840,504,12558601.08,29404128.0,46638000.0,Alta
Execução de serviço técnico,quilowatt,Execução,819,493,6000.0,8000.0,8000.0,Alta
Mensuração,hectare,Execução,810,486,20.0,1000.0,4500.0,Alta
Condução de equipe de instalação,quilowatt,Execução,803,483,800.0,1000.0,4500.0,Alta
Projeto,watt,Elaboração,785,471,500.0,800.0,2800.0,Alta
Direção de obras,metro quadrado,Execução,739,445,3000.0,286500.0,1432500.0,Alta
Condução de equipe de manutenção,unidade,Execução,726,436,1200.0,3713.28,260754.03,Baixa (provável mistura valor unitário/total)
Coleta de dados,metro quadrado,Execução,711,427,100.0,920.0,1500.0,Alta
Desempenho de cargo técnico,hora por semana,Nao selecionado,700,420,6600.0,7272.0,10000.0,Alta
Execução de obra,quilowatt(s) pico,Execução,681,409,800.0,1000.0,2000.0,Alta
Estudo,quilowatt,Elaboração,677,407,1000.0,1000.0,5000.0,Alta
Ambiental,ano,Elaboração,625,375,1.0,1000.0,2000.0,Alta
Projeto,quilômetro,Elaboração,610,366,4500.0,70000.0,10000000.0,Baixa (provável mistura valor unitário/total)
Pesquisa,hectare,Execução,596,358,500.0,1000.0,2500.0,Alta
Projeto,mega-volt-ampére,Execução,594,358,2800.0,2800.0,2800.0,Alta
Análise,unidade,Execução,590,354,1000.0,5000.0,29920.86,Alta
Parecer técnico,unidade,Execução,572,344,600.0,1500.0,6000.0,Alta
Técnica,hectare,Assistência,559,337,1000.0,1000.0,1000.0,Alta
Execução de montagem,quilowatt(s) pico,Execução,557,335,900.0,1500.0,4280.5,Alta
Fiscalização de obra,unidade,Fiscalização,551,331,1000.0,5000.0,1001527.97,Baixa (provável mistura valor unitário/total)
Estudo,quilovolt-ampére,Elaboração,547,329,5000.0,10000.0,21847.16,Alta
Projeto,hora,Execução,540,324,1.0,4927.86,252064.13,Baixa (provável mistura valor unitário/total)
Fiscalização de serviço técnico,unidade,Execução,527,317,2000.0,1962898.1,29391303.64,Média
Manutenção de instalação,unidade,Execução,525,315,1.0,1200.0,8000.0,Média
Execução de instalação,metro,Execução,514,310,1500.0,12568.0,931640.13,Baixa (provável mistura valor unitário/total)
Projeto de instalações,quilowatt(s) pico,Execução,511,307,800.0,1000.0,2000.0,Alta
Coordenação,metro quadrado,Coordenação,508,306,1000.0,14040.64,2441272.96,Baixa (provável mistura valor unitário/total)
Execução de montagem,metro,Execução,505,303,1920.0,8000.0,94000.0,Média
Manutenção de instalação,metro quadrado,Execução,492,296,300.0,625.0,2000.0,Alta
