modalidade,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
Engenheiro Civil,324741,257312,2800.0,1000.0,63000.0
Engenheiro Eletricista,118365,110568,1500.0,1000.0,5000.0
Engenheiro Agrônomo,92344,78433,186.55,1.77,1169.0
Engenheiro de Segurança do Trabalho,49443,4919,500.0,1.0,1212.0
Engenheiro Ambiental,35828,6898,2470.0,1000.0,8500.0
Engenheiro Mecânico,24762,21855,1200.0,400.0,6999.99
Engenheiro Agrimensor,9092,5689,2000.0,1000.0,5000.0
Engenheiro de Produção,7703,372,1500.0,500.0,28445.47
Engenheiro de Minas,5949,3135,2000.0,1000.0,4000.0
Geólogo,5932,5179,3000.0,1500.0,8000.0
Eng. de Controle e Automação,5729,3793,5000.0,1200.0,8000.0
Engenheiro Florestal,4061,2445,1212.0,250.0,5000.0
Engenheiro Industrial - Elétrica,1812,1762,2000.0,900.0,6000.0
ENGENHARIA DE ESTRUTURAS,1317,0,,,
Engenheiro de Telecomunicações,1249,521,2908.8,1200.0,7592.25
Geógrafo,876,551,1500.0,1000.0,3320.0
DOCÊNCIA DO ENSINO SUPERIOR,759,0,,,
APERFEIÇOAMENTO EM GEORREFERENCIAMENTO,600,0,,,
Engenheiro de Pesca/Aquicultura,585,25,1600.0,10.0,3090.72
Engenheiro de Computação,580,471,500.0,400.0,750.0
ENGENHARIA DE ESTRUTURAS DE CONCRETO ARMADO,567,0,,,
ENGENHARIA CLÍNICA,541,0,,,
ENGENHARIA DE AVALIAÇÕES E PERÍCIAS,535,0,,,
Engenheiro Naval,529,512,700.0,600.0,2000.0
Engenheiro Químico,515,451,6200.0,2910.0,71680.0
ENGENHARIA DE AVALIAÇÃO E PERÍCIA,470,0,,,
ENGENHARIA E GERENCIAMENTO DE MANUTENÇÃO,451,0,,,
Engenheiro em Eletrotécnica,438,438,500.0,500.0,14500.0
Engenheiro de Operação - Eletrotécnica,398,189,4000.0,1920.0,4000.0
ENGENHARIA DE ESTRUTURAS E FUNDAÇÕES,383,0,,,
ENGENHARIA GEOTÉCNICA COM ÊNFASE EM FUNDAÇÕES,360,0,,,
Engenheiro de Alimentos,336,44,2250.0,1.0,7668.0
ENGENHARIA ELÉTRICA - ÊNFASE EM SISTEMAS DE POTÊNCIA,331,0,,,
Engenheiro Agrícola,325,26,1021823.53,1000.0,1931012.8
ENGENHARIA DE TELECOMUNICAÇÕES,311,0,,,
ENGENHARIA DE PETRÓLEO,309,0,,,
ENGENHARIA DE ESTRUTURAS METALICAS,294,0,,,
AUDITORIA,269,0,,,
ENGENHARIA RODOVIÁRIA,238,0,,,
ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA,224,0,,,
Engenheiro de Energia,214,154,5000.0,5000.0,5000.0
AVALIAÇÃO DE IMPACTOS E RECUPERAÇÃO DE ÁREAS DEGRADADAS,205,0,,,
Engenheiro Sanitarista,198,166,65050.0,1.0,1006855.72
AVALIACOES E PERICIAS DE ENGENHARIA,186,0,,,
ENGENHARIA RODOVIÁRIA: ESTUDO DA VIABIL AO PROJ EXECUTIVO,184,0,,,
ENGENHARIA ELÉTRICA - HABILITAÇÃO: SISTEMAS DE POTÊNCIA,181,0,,,
Engenheiro de Petróleo,169,8,58173700.5,13368973.05,112322857.75
Tecnologo em Redes de Computadores,167,165,80.0,79.9,100.0
GEOFISICA,155,0,,,
ENGENHARIA DE TRANSPORTES,146,0,,,
Engenheiro de Materiais,138,1,,,
ENGENHARIA DE EQUIPAMENTOS,126,0,,,
ENGENHARIA RODOVIÁRIA: DO ESTUDO DE VIAB PROJ EXECUTIVO,124,0,,,
Engenheiro em Eletrônica,120,114,5000.0,5000.0,7000.0
ENGENHARIA ELÉTRICA - ÊNFASE EM SISTEMAS,119,0,,,
Engenheiro Cartógrafo,114,82,1800.0,1200.0,2500.0
ENGENHARIA GEOTÉCNICA - FUND E OBRAS DE TERRA,107,0,,,
ENGª RODOVIÁRIA:DO ESTUDO DE VIABILIDADE AO PROJ. EXECUTIVO,104,0,,,
GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,92,0,,,
ENERGIAS RENOVÁVEIS,89,0,,,
Geógrafa,88,69,5000.0,2000.0,5000.0
CURSO DE POS-GRADUACAO EM GEOPROCESSAMENTO,81,0,,,
DOUTOR EM GEOCIÊNCIAS,80,0,,,
ENGENHARIA DE AVALIACOES E PERICIAS,79,0,,,
ENGENHARIA ELÉTRICA COM ÊNFASE EM INST ELETR INDUSTRIAIS,76,0,,,
ENGENHARIA DE ESTRUTURAS EM CONCRETO,76,0,,,
ENGENHARIA CONTRA INCÊNDIOS E EMERGÊNCIAS,72,0,,,
ENGENHARIA DE PREVENÇÃO E COMBATE A INCÊNDIOS,69,0,,,
CURSO DE GEORREFERENCIAMENTO EM IMOVEIS RURAIS,67,0,,,
ENGENHARIA BIOMÉDICA COM ÊNFASE EM ENGENHARIA CLÍNICA,64,0,,,
AVALIAÇÕES E PERÍCIAS DE IMÓVEIS URBANOS,59,0,,,
ENGENHARIA RODOVIÁRIA: DO ESTUDO DE VIABILIDADE AO PROJETO E,55,0,,,
ENGENHARIA ELÉTRICA - INSTALAÇÕES RESIDENCIAIS,55,0,,,
ENGENHARIA FERROVIÁRIA E METROFERROVIÁRIA,53,0,,,
ENGENHARIA DE MANUTENÇÃO INDUSTRIAL,52,0,,,
ENGENHARIA DA MANUTENÇÃO,49,0,,,
GEOREFERENCIAMENTO DE IMOVEIS RURAIS,49,0,,,
CURSO DE FORMACAO CONTINUADA EM GEOREFERENCIAMENTO,49,0,,,
EINGENHARIA DE ESTRUTURAS,49,0,,,
ENGENHARIA DAS ESTRUTURAS,49,0,,,
EM GEOREFERENCIAMENTO DE IMOVEIS RURAIS,48,0,,,
Engenheiro Metalurgista,47,39,8911.2,2440.0,362286.64
ENG ELÉTRICA COM ÊNFASE EM INSTALAÇÕES ELÉTRICAS INDUSTRIAIS,47,0,,,
Engenheiro Industrial - Eletrotécnico,47,47,5000.0,4000.0,5000.0
ENGENHARIA GEOTÉCNICA,42,0,,,
ENGENHARIA DA QUALIDADE,41,0,,,
Urbanista,41,40,7636.0,1000.0,11025.0
ENGENHARIA NAVAL E OFF SHORE,41,0,,,
EM SISTEMAS ELÉTRICOS DE POTÊNCIA,40,0,,,
DOUTOR EM MODELAGEM COMPUTACIONAL E TECNOL INDUSTRIAL,37,0,,,
ENGENHARIA NAVAL,36,0,,,
ENGENHARIA ELÉTRICA,35,0,,,
Tecnólogo em Telecomunicações,34,34,124.9,69.9,187.4
ESPECIALIZAÇÃO EM GEOPROCESSAMENTO E CARTOGRAFIA DIGITAL,32,0,,,
ENGENHARIA DE PETRÓLEO E GÁS NATURAL,31,0,,,
ANALISE DE SISTEMAS,31,0,,,
ENGENHARIA DE ESTRUTURAS HIDRÁULICAS,31,0,,,
DOUTOR EM RECURSOS GENÉTICOS VEGETAIS,28,0,,,
ENGENHARIA DE MANUTENÇÃO INDUSTRIAL - ENG PROD CONST,26,0,,,
ENGENHARIA DE CONSTRUÇÃO E MONTAGEM,24,0,,,
ENGENHARIA DE AVALIAÇÕES E PERÍCIAS - ENG PROD CONST,24,0,,,
Engenheiro de Operação - Eletrônica,24,0,,,
EM HIGIENE OCUPACIONAL,23,0,,,
ADMINISTRACAO RURAL,22,0,,,
EM ENGENHARIA ÁREA DE CONCENTRAÇÃO: CONSTRUÇÃO,22,0,,,
AVALIAÇÃO E PERICIAS DE ENGENHARIA,21,0,,,
EM GEOPROCESSAMENTO,19,0,,,
Engenheiro de Fortificação e Construção,19,19,7272.0,100.0,12544.17
ENG. CLINICO,19,0,,,
CIÊNCIAS GEODÉSICAS E TECNOLOGIAS DA GEOINFORMAÇÃO,18,0,,,
AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,18,0,,,
Tecnólogo em Eletrônica,17,16,40992.0,31530.68,79446.0
ENGENHARIA ELÉTRICA: SISTEMAS DE POTÊNCIA,17,0,,,
EM RECUPERAÇÃO DE ÁREAS DEGRADADAS,17,0,,,
ENGENHARIA DIAGNÓSTICA - PATOL E PERÍCIAS NA CONSTRUÇÃO,16,0,,,
CURSO DE GEORREFERENCIAMENTO,16,0,,,
EM PAVIMENTAÇÃO,15,0,,,
Tecnologo em Irrigação e Drenagem,14,14,32666.43,28171.91,35562.25
CAPACITAÇÃO EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS.,14,0,,,
Engenheiro Cartógrafa,14,14,195000.0,195000.0,6032590.0
Engenheiro Biomédico,14,14,1155553.44,662647.5,1380217.5
CURSO DE CAPACITAÇÃO GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,13,0,,,
APERFEIÇOAMENTO EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,13,0,,,
ENG. DIAGNÓST: PATOLOGIA,12,0,,,
ENGENHARIA DE SOFTWARE E GESTÃO DE PROJETOS,12,0,,,
GEOPROCESSAMENTO E GEORREFERENCIAMENTO,12,0,,,
