municipio,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
SALVADOR,85334,55996,8000.0,1578.75,599907.37
FEIRA DE SANTANA,26121,19760,1156.62,600.0,4800.0
VITÓRIA DA CONQUISTA,20982,14328,1176.74,500.0,4000.0
CAMAÇARI,20741,14598,4045.5,1000.0,93155.0
BARREIRAS,20642,15445,2000.0,800.0,4000.0
LUÍS EDUARDO MAGALHÃES,18446,14902,2000.0,500.0,5440.5
JUAZEIRO,13819,10332,1000.0,200.0,5500.0
TEIXEIRA DE FREITAS,13768,9974,1000.0,600.0,2000.0
LAURO DE FREITAS,12966,8541,2540.07,1000.0,9416.79
ILHÉUS,11234,7534,2000.0,500.0,53562.61
JEQUIÉ,9369,6760,1200.0,610.0,7100.0
GUANAMBI,8616,5415,1200.0,400.0,2500.0
PORTO SEGURO,8584,6552,1000.0,500.0,4000.0
PAULO AFONSO,7971,3683,1200.0,500.0,4000.0
ITABUNA,7174,3618,2000.0,600.0,5000.0
SÃO DESIDÉRIO,6802,5679,1500.0,1.77,6500.0
EUNÁPOLIS,6706,4667,900.0,176.22,2683.5
BOM JESUS DA LAPA,6706,5560,1500.0,580.0,4000.0
IRECÊ,6362,5244,2000.0,1000.0,6000.0
ALAGOINHAS,6269,4359,1500.0,600.0,6900.0
BRUMADO,5971,3969,1000.0,500.0,2000.0
MATA DE SÃO JOÃO,5782,4000,6552.9,2000.0,100000.0
SIMÕES FILHO,5758,3709,5800.0,1000.0,71850.65
CAETITÉ,5679,3468,1000.0,500.0,6000.0
SANTO ANTÔNIO DE JESUS,4839,3305,1490.0,500.0,5000.0
CORRENTINA,4682,3666,1675.0,500.0,8000.0
FORMOSA DO RIO PRETO,4543,3886,1000.0,1.77,5000.0
JACOBINA,4165,2760,3425.0,1000.0,14200.0
RIBEIRA DO POMBAL,4021,2659,2000.0,1000.0,4000.0
LIVRAMENTO DE NOSSA SENHORA,3752,2664,500.0,260.0,1938.75
MORRO DO CHAPÉU,3714,2881,3000.0,1000.0,2605408.38
VALENÇA,3582,2389,2000.0,1000.0,6000.0
CANDEIAS,3494,2204,11090.0,1850.0,839030.29
SENTO SÉ,3236,2679,439.0,72.0,6000.0
XIQUE-XIQUE,3159,2339,5000.0,1116.0,305000.0
PRADO,3087,2431,714.98,200.0,2500.0
SERRINHA,3066,2310,2000.0,1000.0,4000.0
ITAPETINGA,3039,1987,700.0,100.0,2000.0
ITABERABA,2984,2274,1000.0,400.0,3049.0
RIACHÃO DAS NEVES,2936,2379,250.0,1.77,2500.0
EUCLIDES DA CUNHA,2888,2022,1500.0,805.03,6500.0
JABORANDI,2707,2275,1000.0,100.0,7000.0
CRUZ DAS ALMAS,2564,1906,1500.0,800.0,5000.0
TUCANO,2493,1630,1000.0,400.0,3000.0
CAMPO FORMOSO,2472,1583,3800.0,300.0,2005863.04
BARRA DO CHOÇA,2468,2185,1.77,1.0,1500.0
CASA NOVA,2462,1576,1487.15,1.3,5000.0
ITAMARAJU,2444,1727,850.0,266.81,2082.5
JAGUAQUARA,2393,1937,800.0,330.0,2022.0
