Código Nível,Nivel,Código Atividade,Atividade,Cód. TOS,Descrição,Unidade de medida,Qtd atividades,Valor Médio/unidade,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
14.0,Elaboração,35.0,Elaboração de orçamento,1.0, Construção Civil,metro quadrado,1,4.12979351,,,,,,,,,,,,,,,,,,,,
14.0,Elaboração,80.0,Projeto,1.0, Construção Civil,metro quadrado,1,4.12979351,,,,,,,,,,,,,,,,,,,,
18.0,Fiscalização,52.0,Execução de reforma,1.0, Construção Civil,metro quadrado,1,4.12979351,,,,,,,,,,,,,,,,,,,,
22.0,Orientação,9.0,Avaliação,1.0, Construção Civil,unidade,1,175,,,,,,,,,,,,,,,,,,,,
16.0,Execução,55.0,Execução de serviço técnico,20.0, Atividades da Área da Engenharia de Produção,metro cúbico,1,0.05555555556,,,,,,,,,,,,,,,,,,,,
14.0,Elaboração,23.0,Consultoria,34.0, Geodésia,mes,1,83.33333333,,,,,,,,,,,,,,,,,,,,
14.0,Elaboração,23.0,Consultoria,35.0, Cartografia,mes,1,83.33333333,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,2.0,Análise,1.1.1.1 , de alvenaria,unidade,1,941.1654167,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,6.0,Assessoria,1.1.1.1 , de alvenaria,mes,1,6360,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,7.0,Assistência,1.1.1.1 , de alvenaria,metro quadrado,1,1.01480602,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,12.0,Como construído,1.1.1.1 , de alvenaria,metro quadrado,1,3.586977478,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,22.0,Condução de serviço técnico,1.1.1.1 , de alvenaria,hora por mês,1,1500,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,44.0,Execução de desenho técnico,1.1.1.1 , de alvenaria,unidade,1,2.222112488,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,49.0,Execução de obra,1.1.1.1 , de alvenaria,metro quadrado,2,1.500802464,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,67.0,Levantamento,1.1.1.1 , de alvenaria,metro quadrado,1,1.037165082,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,85.0,Vistoria,1.1.1.1 , de alvenaria,metro quadrado,1,1.414627246,,,,,,,,,,,,,,,,,,,,
1.0,Assessoria,85.0,Vistoria,1.1.1.1 , de alvenaria,unidade,1,941.1654167,,,,,,,,,,,,,,,,,,,,
3.0,Assistência,49.0,Execução de obra,1.1.1.1 , de alvenaria,metro quadrado,2,0.8630282438,,,,,,,,,,,,,,,,,,,,
4.0,Concepção,80.0,Projeto,1.1.1.1 , de alvenaria,metro quadrado,1,4.392129304,,,,,,,,,,,,,,,,,,,,
4.0,Concepção,81.0,Projeto Arquitetônico,1.1.1.1 , de alvenaria,metro quadrado,1,5.3125,,,,,,,,,,,,,,,,,,,,
6.0,Condução de equipe,15.0,Condução de equipe de manutenção,1.1.1.1 , de alvenaria,metro quadrado,1,12.5,,,,,,,,,,,,,,,,,,,,
6.0,Condução de equipe,19.0,Condução de equipe de reforma,1.1.1.1 , de alvenaria,metro quadrado,3,52.56701715,,,,,,,,,,,,,,,,,,,,
7.0,Condução de serviço técnico,49.0,Execução de obra,1.1.1.1 , de alvenaria,quilovolt,2,4851.470891,,,,,,,,,,,,,,,,,,,,
7.0,Condução de serviço técnico,66.0,Laudo,1.1.1.1 , de alvenaria,hora,1,300,,,,,,,,,,,,,,,,,,,,
7.0,Condução de serviço técnico,67.0,Levantamento,1.1.1.1 , de alvenaria,metro quadrado,2,2.885503232,,,,,,,,,,,,,,,,,,,,
7.0,Condução de serviço técnico,85.0,Vistoria,1.1.1.1 , de alvenaria,metro quadrado,1,1.591443551,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,2.0,Análise,1.1.1.1 , de alvenaria,unidade,3,2014.357692,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,9.0,Avaliação,1.1.1.1 , de alvenaria,metro quadrado,1,2.131912059,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,23.0,Consultoria,1.1.1.1 , de alvenaria,dia,2,2666.4,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,23.0,Consultoria,1.1.1.1 , de alvenaria,metro quadrado,4,5.771094123,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,23.0,Consultoria,1.1.1.1 , de alvenaria,unidade,3,0.15,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,35.0,Elaboração de orçamento,1.1.1.1 , de alvenaria,unidade,1,1000,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,37.0,Ensino,1.1.1.1 , de alvenaria,hora,1,2.5,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,60.0,Fiscalização de obra,1.1.1.1 , de alvenaria,metro quadrado,1,0.2216981278,,,,,,,,,,,,,,,,,,,,
8.0,Consultoria,61.0,Fiscalização de serviço técnico,1.1.1.1 , de alvenaria,unidade,3,2014.357692,,,,,,,,,,,,,,,,,,,,
