ano,arquivo_origem,aba_ou_planilha,caminho_local,total_linhas,total_arts_unicas,campo_art,campo_municipio,campo_valor,campo_tos,campo_servico,status_processamento,observacao
2015,arts 2015 1 semestre - feito.xlsx,_select_tb_art_numero_tb_art_id,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2015 1 semestre - feito.xlsx,65534,27928,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,TOS direto ausente; agregado por atividade/servico/unidade.
2015,arts 2015 2 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309110922,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2015 2 semestre.xls,65535,22546,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2016,arts 2016 1 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309110928,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2016 1 semestre.xls,65535,21210,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2016,arts 2016 2 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309110933,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2016 2 semestre.xls,65535,21050,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2017,arts 2017 1 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309110940,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2017 1 semestre.xls,65535,19974,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2017,arts 2017 2 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309110951,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2017 2 semestre.xls,65535,20429,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2018,arts 2018 1 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309111004,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2018 1 semestre.xls,65535,18996,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2018,arts 2018 2 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309111038,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2018 2 semestre.xls,65535,19352,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2019,arts 2019 1 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309111046,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2019 1 semestre.xls,65535,18262,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2019,arts 2019 2 semestre.xls,_select_tb_art_numero_tb_art_id_ta_descricao_tipo_art_fdr_descri_202309111051,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2019 2 semestre.xls,65535,18189,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,linhas lidas == limite .xls 65536; possivel truncamento
2020,arts 2020 1 semestre.xlsx,_select_tb_art_numero_tb_art_id,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2020 1 semestre.xlsx,65534,18000,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,TOS direto ausente; agregado por atividade/servico/unidade.
2020,arts 2020 2 semestre - feito.xlsx,2020.2,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2020 2 semestre - feito.xlsx,65534,18505,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,TOS direto ausente; agregado por atividade/servico/unidade.
2021,arts 2021 1 semestre - feito.xlsx,2021.1,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2021 1 semestre - feito.xlsx,65534,18640,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,TOS direto ausente; agregado por atividade/servico/unidade.
2021,arts 2021 2 semestre.xlsx,2021.2,C:\Users\adina\Meu Drive\ARTS Adinailson\arts 2021 2 semestre.xlsx,65534,19375,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,TOS direto ausente; agregado por atividade/servico/unidade.
2022,ARTs 2022 01022024.csv,ARTs 2022 01022024.csv,C:\Users\adina\Meu Drive\ARTS Adinailson\ARTs 2022 01022024.csv,726028,230928,id,cidade_obra,valor_contrato,Informação insuficiente para verificar.,atividade,processado,TOS direto ausente; agregado por atividade/servico/unidade.
